test accuracy,recall,precision,trainingset_size,type,method,seed,percentage_spray
82.6,0.5865384615384616,0.8026315789473685,1000,active learning,uncertainty,3,0.406
82.89999999999999,0.5192307692307693,0.8852459016393442,1500,active learning,uncertainty,3,0.4106666666666667
85.0,0.592948717948718,0.8894230769230769,2000,active learning,uncertainty,3,0.446
80.7,0.6602564102564102,0.7030716723549488,2500,active learning,uncertainty,3,0.458
85.3,0.6217948717948718,0.8699551569506726,3000,active learning,uncertainty,3,0.429
85.3,0.5576923076923077,0.9508196721311475,3500,active learning,uncertainty,3,0.43485714285714283
85.7,0.6121794871794872,0.8967136150234741,4000,active learning,uncertainty,3,0.44825
85.7,0.6538461538461539,0.8535564853556485,4500,active learning,uncertainty,3,0.4411111111111111
85.8,0.6282051282051282,0.8828828828828829,5000,active learning,uncertainty,3,0.4318
74.6,0.2692307692307692,0.7636363636363637,500,active learning,random,3,0.266
79.5,0.3717948717948718,0.928,1000,active learning,random,3,0.28
81.10000000000001,0.4807692307692308,0.847457627118644,1500,active learning,random,3,0.296
81.89999999999999,0.5288461538461539,0.8291457286432161,2000,active learning,random,3,0.298
80.60000000000001,0.5480769230769231,0.7633928571428571,2500,active learning,random,3,0.2948
81.69999999999999,0.4551282051282051,0.9161290322580645,3000,active learning,random,3,0.29133333333333333
84.5,0.6217948717948718,0.8398268398268398,3500,active learning,random,3,0.29285714285714287
83.8,0.5384615384615384,0.9032258064516129,4000,active learning,random,3,0.28975
84.2,0.5512820512820513,0.9052631578947369,4500,active learning,random,3,0.2868888888888889
83.7,0.5416666666666666,0.8941798941798942,5000,active learning,random,3,0.2884
74.6,0.2692307692307692,0.7636363636363637,500,active learning,uncertainty_monte_carlo,3,0.266
81.0,0.47115384615384615,0.8546511627906976,1000,active learning,uncertainty_monte_carlo,3,0.414
84.2,0.5576923076923077,0.8969072164948454,1500,active learning,uncertainty_monte_carlo,3,0.49133333333333334
80.7,0.41025641025641024,0.9343065693430657,2000,active learning,uncertainty_monte_carlo,3,0.4945
85.6,0.5961538461538461,0.9117647058823529,2500,active learning,uncertainty_monte_carlo,3,0.5564
84.2,0.5673076923076923,0.885,3000,active learning,uncertainty_monte_carlo,3,0.538
85.39999999999999,0.6474358974358975,0.8487394957983193,3500,active learning,uncertainty_monte_carlo,3,0.5471428571428572
84.89999999999999,0.6378205128205128,0.8396624472573839,4000,active learning,uncertainty_monte_carlo,3,0.5675
86.4,0.6602564102564102,0.8728813559322034,4500,active learning,uncertainty_monte_carlo,3,0.5226666666666666
86.1,0.6217948717948718,0.9023255813953488,5000,active learning,uncertainty_monte_carlo,3,0.5036
76.8,0.41346153846153844,0.7247191011235955,500,active learning,uncertainty,4,0.266
80.80000000000001,0.46474358974358976,0.8529411764705882,1000,active learning,uncertainty,4,0.366
80.80000000000001,0.5192307692307693,0.7941176470588235,1500,active learning,uncertainty,4,0.42933333333333334
84.8,0.5833333333333334,0.8921568627450981,2000,active learning,uncertainty,4,0.4205
84.89999999999999,0.5961538461538461,0.8815165876777251,2500,active learning,uncertainty,4,0.4356
85.2,0.6025641025641025,0.8867924528301887,3000,active learning,uncertainty,4,0.444
87.2,0.6602564102564102,0.9035087719298246,3500,active learning,uncertainty,4,0.44942857142857146
84.8,0.5512820512820513,0.9347826086956522,4000,active learning,uncertainty,4,0.45325
86.1,0.6378205128205128,0.8844444444444445,4500,active learning,uncertainty,4,0.4713333333333333
86.7,0.6666666666666666,0.8776371308016878,5000,active learning,uncertainty,4,0.4546
76.8,0.41346153846153844,0.7247191011235955,500,active learning,random,4,0.266
79.10000000000001,0.3685897435897436,0.905511811023622,1000,active learning,random,4,0.298
81.8,0.5160256410256411,0.8385416666666666,1500,active learning,random,4,0.30866666666666664
80.4,0.5096153846153846,0.7871287128712872,2000,active learning,random,4,0.316
81.89999999999999,0.4775641025641026,0.8922155688622755,2500,active learning,random,4,0.3072
78.10000000000001,0.42948717948717946,0.7657142857142857,3000,active learning,random,4,0.304
83.39999999999999,0.5352564102564102,0.8882978723404256,3500,active learning,random,4,0.2988571428571429
83.7,0.5480769230769231,0.8860103626943006,4000,active learning,random,4,0.29475
84.3,0.532051282051282,0.9378531073446328,4500,active learning,random,4,0.29244444444444445
83.3,0.5,0.9341317365269461,5000,active learning,random,4,0.2914
76.8,0.41346153846153844,0.7247191011235955,500,active learning,uncertainty_monte_carlo,4,0.266
79.9,0.38782051282051283,0.9236641221374046,1000,active learning,uncertainty_monte_carlo,4,0.411
82.69999999999999,0.592948717948718,0.8008658008658008,1500,active learning,uncertainty_monte_carlo,4,0.5393333333333333
80.0,0.7051282051282052,0.6707317073170732,2000,active learning,uncertainty_monte_carlo,4,0.5785
83.0,0.5576923076923077,0.8446601941747572,2500,active learning,uncertainty_monte_carlo,4,0.6336
84.39999999999999,0.6602564102564102,0.8046875,3000,active learning,uncertainty_monte_carlo,4,0.6376666666666667
85.2,0.6346153846153846,0.853448275862069,3500,active learning,uncertainty_monte_carlo,4,0.6168571428571429
86.3,0.6794871794871795,0.8514056224899599,4000,active learning,uncertainty_monte_carlo,4,0.577
84.7,0.592948717948718,0.8767772511848341,4500,active learning,uncertainty_monte_carlo,4,0.5375555555555556
86.2,0.6602564102564102,0.865546218487395,5000,active learning,uncertainty_monte_carlo,4,0.5036
76.5,0.33653846153846156,0.7894736842105263,500,active learning,uncertainty,5,0.266
70.8,0.6346153846153846,0.526595744680851,1000,active learning,uncertainty,5,0.386
84.1,0.5737179487179487,0.8731707317073171,1500,active learning,uncertainty,5,0.3486666666666667
81.8,0.47115384615384615,0.8963414634146342,2000,active learning,uncertainty,5,0.377
84.1,0.5897435897435898,0.8558139534883721,2500,active learning,uncertainty,5,0.4356
85.7,0.5961538461538461,0.916256157635468,3000,active learning,uncertainty,5,0.43433333333333335
85.3,0.6762820512820513,0.8210116731517509,3500,active learning,uncertainty,5,0.4551428571428571
87.3,0.657051282051282,0.9111111111111111,4000,active learning,uncertainty,5,0.44025
87.2,0.6538461538461539,0.9107142857142857,4500,active learning,uncertainty,5,0.44
85.8,0.6346153846153846,0.8761061946902655,5000,active learning,uncertainty,5,0.4378
76.5,0.33653846153846156,0.7894736842105263,500,active learning,random,5,0.266
76.8,0.25961538461538464,0.9878048780487805,1000,active learning,random,5,0.282
81.10000000000001,0.46794871794871795,0.863905325443787,1500,active learning,random,5,0.292
80.0,0.3974358974358974,0.9117647058823529,2000,active learning,random,5,0.2975
83.2,0.5288461538461539,0.8870967741935484,2500,active learning,random,5,0.2928
82.39999999999999,0.4583333333333333,0.9533333333333334,3000,active learning,random,5,0.2916666666666667
83.6,0.5064102564102564,0.9404761904761905,3500,active learning,random,5,0.2934285714285714
84.2,0.5256410256410257,0.9425287356321839,4000,active learning,random,5,0.2915
85.3,0.5769230769230769,0.9230769230769231,4500,active learning,random,5,0.29
86.3,0.6506410256410257,0.8787878787878788,5000,active learning,random,5,0.2954
76.5,0.33653846153846156,0.7894736842105263,500,active learning,uncertainty_monte_carlo,5,0.266
81.5,0.46474358974358976,0.8895705521472392,1000,active learning,uncertainty_monte_carlo,5,0.416
84.7,0.6089743589743589,0.8597285067873304,1500,active learning,uncertainty_monte_carlo,5,0.44733333333333336
83.89999999999999,0.5608974358974359,0.8793969849246231,2000,active learning,uncertainty_monte_carlo,5,0.4415
83.1,0.5,0.9230769230769231,2500,active learning,uncertainty_monte_carlo,5,0.482
85.39999999999999,0.6217948717948718,0.8738738738738738,3000,active learning,uncertainty_monte_carlo,5,0.48533333333333334
85.39999999999999,0.6506410256410257,0.8458333333333333,3500,active learning,uncertainty_monte_carlo,5,0.4777142857142857
85.8,0.657051282051282,0.8541666666666666,4000,active learning,uncertainty_monte_carlo,5,0.464
86.0,0.6282051282051282,0.8909090909090909,4500,active learning,uncertainty_monte_carlo,5,0.456
86.0,0.6217948717948718,0.8981481481481481,5000,active learning,uncertainty_monte_carlo,5,0.4504
73.9,0.20192307692307693,0.84,500,active learning,uncertainty,6,0.266
76.7,0.25961538461538464,0.9759036144578314,1000,active learning,uncertainty,6,0.418
83.7,0.5576923076923077,0.8743718592964824,1500,active learning,uncertainty,6,0.5526666666666666
82.6,0.5641025641025641,0.822429906542056,2000,active learning,uncertainty,6,0.5315
84.7,0.5993589743589743,0.8697674418604651,2500,active learning,uncertainty,6,0.4928
83.89999999999999,0.6762820512820513,0.7785977859778598,3000,active learning,uncertainty,6,0.488
85.7,0.6666666666666666,0.8421052631578947,3500,active learning,uncertainty,6,0.47114285714285714
85.5,0.657051282051282,0.8436213991769548,4000,active learning,uncertainty,6,0.45575
85.7,0.6474358974358975,0.8595744680851064,4500,active learning,uncertainty,6,0.44533333333333336
87.7,0.6730769230769231,0.9090909090909091,5000,active learning,uncertainty,6,0.4418
73.9,0.20192307692307693,0.84,500,active learning,random,6,0.266
79.10000000000001,0.5352564102564102,0.7229437229437229,1000,active learning,random,6,0.294
79.9,0.44551282051282054,0.8323353293413174,1500,active learning,random,6,0.2853333333333333
73.9,0.2724358974358974,0.7142857142857143,2000,active learning,random,6,0.29
81.5,0.42948717948717946,0.950354609929078,2500,active learning,random,6,0.2936
80.80000000000001,0.4519230769230769,0.8703703703703703,3000,active learning,random,6,0.2966666666666667
84.39999999999999,0.5416666666666666,0.9285714285714286,3500,active learning,random,6,0.2985714285714286
83.89999999999999,0.5256410256410257,0.9265536723163842,4000,active learning,random,6,0.29775
85.6,0.5961538461538461,0.9117647058823529,4500,active learning,random,6,0.29555555555555557
83.3,0.5032051282051282,0.9289940828402367,5000,active learning,random,6,0.2952
73.9,0.20192307692307693,0.84,500,active learning,uncertainty_monte_carlo,6,0.266
80.4,0.38782051282051283,0.9603174603174603,1000,active learning,uncertainty_monte_carlo,6,0.428
83.3,0.5608974358974359,0.8536585365853658,1500,active learning,uncertainty_monte_carlo,6,0.5066666666666667
84.5,0.5705128205128205,0.8944723618090452,2000,active learning,uncertainty_monte_carlo,6,0.563
83.2,0.6217948717948718,0.7950819672131147,2500,active learning,uncertainty_monte_carlo,6,0.5468
84.5,0.6538461538461539,0.8127490039840638,3000,active learning,uncertainty_monte_carlo,6,0.5453333333333333
84.6,0.6858974358974359,0.7925925925925926,3500,active learning,uncertainty_monte_carlo,6,0.596
86.1,0.6602564102564102,0.8619246861924686,4000,active learning,uncertainty_monte_carlo,6,0.59575
85.6,0.6666666666666666,0.8387096774193549,4500,active learning,uncertainty_monte_carlo,6,0.5613333333333334
84.3,0.5897435897435898,0.863849765258216,5000,active learning,uncertainty_monte_carlo,6,0.521
75.1,0.36217948717948717,0.6932515337423313,500,active learning,uncertainty,7,0.266
82.19999999999999,0.5128205128205128,0.8602150537634409,1000,active learning,uncertainty,7,0.364
83.89999999999999,0.532051282051282,0.9171270718232044,1500,active learning,uncertainty,7,0.38666666666666666
84.1,0.5288461538461539,0.9322033898305084,2000,active learning,uncertainty,7,0.422
85.39999999999999,0.6089743589743589,0.8878504672897196,2500,active learning,uncertainty,7,0.4528
86.0,0.657051282051282,0.8613445378151261,3000,active learning,uncertainty,7,0.4633333333333333
86.9,0.6538461538461539,0.8986784140969163,3500,active learning,uncertainty,7,0.4451428571428571
86.1,0.6314102564102564,0.8914027149321267,4000,active learning,uncertainty,7,0.4445
85.8,0.6442307692307693,0.8663793103448276,4500,active learning,uncertainty,7,0.44377777777777777
87.3,0.6891025641025641,0.8775510204081632,5000,active learning,uncertainty,7,0.4324
75.1,0.36217948717948717,0.6932515337423313,500,active learning,random,7,0.266
78.2,0.4230769230769231,0.7764705882352941,1000,active learning,random,7,0.277
80.10000000000001,0.4358974358974359,0.8553459119496856,1500,active learning,random,7,0.2833333333333333
84.6,0.592948717948718,0.8726415094339622,2000,active learning,random,7,0.295
84.89999999999999,0.6025641025641025,0.8744186046511628,2500,active learning,random,7,0.2868
85.5,0.5865384615384616,0.9195979899497487,3000,active learning,random,7,0.2833333333333333
84.39999999999999,0.5961538461538461,0.8611111111111112,3500,active learning,random,7,0.2822857142857143
83.7,0.532051282051282,0.907103825136612,4000,active learning,random,7,0.2855
85.1,0.5608974358974359,0.9358288770053476,4500,active learning,random,7,0.288
84.89999999999999,0.5512820512820513,0.9398907103825137,5000,active learning,random,7,0.2874
75.1,0.36217948717948717,0.6932515337423313,500,active learning,uncertainty_monte_carlo,7,0.266
78.8,0.532051282051282,0.7155172413793104,1000,active learning,uncertainty_monte_carlo,7,0.369
83.8,0.5608974358974359,0.875,1500,active learning,uncertainty_monte_carlo,7,0.4166666666666667
79.3,0.3685897435897436,0.92,2000,active learning,uncertainty_monte_carlo,7,0.443
84.1,0.5352564102564102,0.9226519337016574,2500,active learning,uncertainty_monte_carlo,7,0.49
84.5,0.6506410256410257,0.8152610441767069,3000,active learning,uncertainty_monte_carlo,7,0.535
86.6,0.6891025641025641,0.8531746031746031,3500,active learning,uncertainty_monte_carlo,7,0.5462857142857143
84.7,0.5641025641025641,0.9119170984455959,4000,active learning,uncertainty_monte_carlo,7,0.503
85.9,0.6282051282051282,0.8868778280542986,4500,active learning,uncertainty_monte_carlo,7,0.498
84.0,0.5512820512820513,0.8958333333333334,5000,active learning,uncertainty_monte_carlo,7,0.4992
76.0,0.34935897435897434,0.7465753424657534,500,active learning,uncertainty,8,0.266
75.9,0.2692307692307692,0.865979381443299,1000,active learning,uncertainty,8,0.36
83.6,0.5512820512820513,0.8775510204081632,1500,active learning,uncertainty,8,0.4686666666666667
85.3,0.5961538461538461,0.8985507246376812,2000,active learning,uncertainty,8,0.4665
85.39999999999999,0.6025641025641025,0.8952380952380953,2500,active learning,uncertainty,8,0.4692
84.3,0.532051282051282,0.9378531073446328,3000,active learning,uncertainty,8,0.4846666666666667
86.5,0.6474358974358975,0.8898678414096917,3500,active learning,uncertainty,8,0.49457142857142855
