test accuracy,recall,precision,trainingset_size,type,method,seed,percentage_spray
85.62857142857143,0.603629417382999,0.8777777777777778,4800,active learning,random,3,0.28833333333333333
86.02857142857144,0.5978987583572111,0.9020172910662824,6000,active learning,random,3,0.2916666666666667
85.91428571428571,0.6055396370582617,0.8879551820728291,7200,active learning,random,3,0.29430555555555554
86.11428571428571,0.673352435530086,0.8303886925795053,8400,active learning,random,3,0.2947619047619048
86.94285714285715,0.6418338108882522,0.8912466843501327,9600,active learning,random,3,0.29333333333333333
87.82857142857144,0.6418338108882522,0.9294605809128631,10800,active learning,random,3,0.29564814814814816
87.54285714285714,0.6762177650429799,0.8795031055900621,12000,active learning,random,3,0.2956666666666667
82.19999999999999,0.5128939828080229,0.8261538461538461,1200,active learning,uncertainty,4,0.2833333333333333
83.34285714285714,0.5176695319961796,0.8741935483870967,2400,active learning,uncertainty,4,0.36875
84.8,0.6427889207258835,0.8098676293622142,3600,active learning,uncertainty,4,0.4280555555555556
86.62857142857143,0.6322827125119389,0.8885906040268456,4800,active learning,uncertainty,4,0.40166666666666667
87.42857142857143,0.6523400191021967,0.8998682476943346,6000,active learning,uncertainty,4,0.383
86.57142857142858,0.6246418338108882,0.8946648426812586,7200,active learning,uncertainty,4,0.35291666666666666
87.57142857142857,0.6809933142311366,0.8759213759213759,8400,active learning,uncertainty,4,0.3485714285714286
87.34285714285714,0.6351480420248329,0.9159779614325069,9600,active learning,uncertainty,4,0.3205208333333333
87.57142857142857,0.6361031518624641,0.925,10800,active learning,uncertainty,4,0.3005555555555556
87.74285714285715,0.6599808978032474,0.9044502617801047,12000,active learning,uncertainty,4,0.30691666666666667
82.19999999999999,0.5128939828080229,0.8261538461538461,1200,active learning,uncertainty_monte_carlo,4,0.2833333333333333
83.51428571428572,0.5272206303724928,0.8706624605678234,2400,active learning,uncertainty_monte_carlo,4,0.34125
84.05714285714285,0.5004775549188156,0.9373881932021467,3600,active learning,uncertainty_monte_carlo,4,0.39166666666666666
85.8,0.5663801337153773,0.9323899371069182,4800,active learning,uncertainty_monte_carlo,4,0.42
86.62857142857143,0.6571155682903533,0.863237139272271,6000,active learning,uncertainty_monte_carlo,4,0.38183333333333336
87.08571428571429,0.6838586437440306,0.8554360812425329,7200,active learning,uncertainty_monte_carlo,4,0.3784722222222222
87.57142857142857,0.6867239732569246,0.8704600484261501,8400,active learning,uncertainty_monte_carlo,4,0.38261904761904764
87.5142857142857,0.673352435530086,0.88125,9600,active learning,uncertainty_monte_carlo,4,0.36322916666666666
87.88571428571429,0.6542502387774594,0.9170013386880856,10800,active learning,uncertainty_monte_carlo,4,0.34046296296296297
87.57142857142857,0.6446991404011462,0.9146341463414634,12000,active learning,uncertainty_monte_carlo,4,0.31775
82.19999999999999,0.5128939828080229,0.8261538461538461,1200,active learning,random,4,0.2833333333333333
83.68571428571428,0.5520534861509073,0.85,2400,active learning,random,4,0.295
83.74285714285715,0.5587392550143266,0.8453757225433526,3600,active learning,random,4,0.2966666666666667
85.71428571428571,0.5998089780324737,0.8857545839210155,4800,active learning,random,4,0.2972916666666667
86.05714285714285,0.6141356255969437,0.8844566712517193,6000,active learning,random,4,0.2961666666666667
87.05714285714285,0.6456542502387774,0.8918205804749341,7200,active learning,random,4,0.29541666666666666
86.57142857142858,0.6829035339063992,0.8382180539273154,8400,active learning,random,4,0.29404761904761906
87.2,0.6399235912129895,0.9041835357624831,9600,active learning,random,4,0.2939583333333333
87.45714285714286,0.6494746895893028,0.9042553191489362,10800,active learning,random,4,0.2960185185185185
87.37142857142857,0.6743075453677173,0.8748451053283767,12000,active learning,random,4,0.29691666666666666
81.31428571428572,0.5549188156638013,0.7555266579973993,1200,active learning,uncertainty,5,0.2833333333333333
83.48571428571428,0.5959885386819485,0.8010269576379975,2400,active learning,uncertainty,5,0.37875
85.8,0.6485195797516714,0.8403465346534653,3600,active learning,uncertainty,5,0.3947222222222222
86.91428571428571,0.670487106017192,0.8613496932515338,4800,active learning,uncertainty,5,0.38395833333333335
87.0,0.6934097421203438,0.8441860465116279,6000,active learning,uncertainty,5,0.3611666666666667
87.37142857142857,0.6523400191021967,0.897503285151117,7200,active learning,uncertainty,5,0.3376388888888889
88.05714285714285,0.7029608404966571,0.8730723606168446,8400,active learning,uncertainty,5,0.3383333333333333
87.5142857142857,0.6322827125119389,0.927170868347339,9600,active learning,uncertainty,5,0.3315625
87.85714285714286,0.6638013371537727,0.9049479166666666,10800,active learning,uncertainty,5,0.3351851851851852
87.2,0.6542502387774594,0.8884565499351491,12000,active learning,uncertainty,5,0.31566666666666665
81.31428571428572,0.5549188156638013,0.7555266579973993,1200,active learning,uncertainty_monte_carlo,5,0.2833333333333333
82.68571428571428,0.4574976122254059,0.9264990328820116,2400,active learning,uncertainty_monte_carlo,5,0.37
83.88571428571429,0.6561604584527221,0.7710437710437711,3600,active learning,uncertainty_monte_carlo,5,0.45805555555555555
86.4857142857143,0.6523400191021967,0.8623737373737373,4800,active learning,uncertainty_monte_carlo,5,0.4225
